StudentId,FName,LName,DOB,DepartmentId,Gender,Email
1,Halla,Bekele,1970-01-01 00:00:00,14,M,
2,Keely,Leigh,1971-01-01 00:00:00,14,F,
3,Bekele,Paki,1972-01-01 00:00:00,2,M,
4,Asnakech,Regan,1973-01-01 00:00:00,2,F,
5,Ephrem,Steel,1974-01-01 00:00:00,2,M,
6,Feven,Lacey,1975-01-01 00:00:00,2,F,
7,TSega,Jennifer,1976-01-01 00:00:00,3,M,
8,Tsegaw,Isabella,1977-01-01 00:00:00,3,M,
9,Yabsera,Ila,1978-01-01 00:00:00,3,F,
10,Hiroko,Inga,1979-01-01 00:00:00,4,M,
11,Miranda,Flynn,1980-01-01 00:00:00,4,F,
12,Orla,Oren,1981-01-01 00:00:00,4,M,
13,Tara,Quynn,1982-01-01 00:00:00,5,F,
14,Regan,Maile,1983-01-01 00:00:00,5,M,
15,Elton,Armand,1984-01-01 00:00:00,6,M,
16,Asnakech,Kirestin,1985-01-01 00:00:00,7,F,
17,Martha,Lila,1986-01-01 00:00:00,8,M,
18,Omar,Vance,1987-01-01 00:00:00,9,F,
19,Zachery,Wyatt,1988-01-01 00:00:00,10,M,
20,Zia,Vincent,1989-01-01 00:00:00,11,F,
21,Salvador,Merritt,1990-01-01 00:00:00,12,M,
22,Nadine,Harper,1991-01-01 00:00:00,13,M,
23,Pamela,Driscoll,1992-01-01 00:00:00,3,F,
24,Boris,Kadeem,1993-01-01 00:00:00,4,M,
25,Asnakech,Peter,1994-01-01 00:00:00,5,F,
26,Shana,Kalia,1995-01-01 00:00:00,6,M,
27,Hedy,Cruz,1996-01-01 00:00:00,35,F,
28,Wallace,Tad,1997-01-01 00:00:00,35,M,
29,Wallace,Brittany,1998-01-01 00:00:00,12,M,
30,Constance,Igor,1999-01-01 00:00:00,12,F,
31,Solomon,Athena,2000-01-01 00:00:00,1,M,
32,Clark,Kennan,2001-01-01 00:00:00,1,F,
33,Abebech,Josephine,2002-01-01 00:00:00,1,F,
34,Wylie,Hedwig,2003-01-01 00:00:00,2,F,
35,Desirae,Astra,2004-01-01 00:00:00,2,M,
36,Yoshi,Lani,2005-01-01 00:00:00,2,M,
37,Sigourney,Jessamine,2006-01-01 00:00:00,3,F,
38,Sara,Carson,2007-01-01 00:00:00,3,M,
39,Nyssa,Oliver,2008-01-01 00:00:00,3,F,
40,Francesca,Sopoline,2009-01-01 00:00:00,4,M,
41,Autumn,Remedios,2010-01-01 00:00:00,4,F,
42,Amity,Destiny,2011-01-01 00:00:00,4,M,
43,Tanner,Rahim,1970-01-01 00:00:00,5,M,
44,Cyrus,Berk,1971-01-01 00:00:00,5,F,
45,Cooper,Christopher,1972-01-01 00:00:00,6,M,
46,Marah,Raya,1973-01-01 00:00:00,7,F,
47,Kelly,Sebastian,1974-01-01 00:00:00,8,M,
48,Mechelle,Valentine,1975-01-01 00:00:00,9,F,
49,Denise,Ray,1976-01-01 00:00:00,10,M,
50,Ivan,Marcia,1977-01-01 00:00:00,11,M,
51,Olga,Selma,1978-01-01 00:00:00,12,F,
52,Imani,Tarik,1979-01-01 00:00:00,13,M,
53,Quon,Rana,1980-01-01 00:00:00,3,F,
54,Berk,Rana,1981-01-01 00:00:00,4,M,
55,Ferdinand,Kyra,1982-01-01 00:00:00,5,F,
56,Tatiana,Iliana,1983-01-01 00:00:00,6,M,
57,Amanda,Phyllis,1984-01-01 00:00:00,35,M,
58,Mohammad,Hamish,1985-01-01 00:00:00,35,F,
59,Dorian,Alexis,1986-01-01 00:00:00,12,M,
60,Rama,Chaim,1987-01-01 00:00:00,12,F,
61,Velma,Otto,1988-01-01 00:00:00,1,M,
62,Deacon,Buckminster,1989-01-01 00:00:00,1,F,
63,Jacqueline,Myles,1990-01-01 00:00:00,1,M,
64,Stuart,Olympia,1991-01-01 00:00:00,2,M,
65,Sheila,Astra,1992-01-01 00:00:00,2,F,
66,Phelan,Charity,1993-01-01 00:00:00,2,M,
67,Dale,Fiona,1994-01-01 00:00:00,3,F,
68,Kessie,Connor,1995-01-01 00:00:00,3,M,
69,Talon,Odysseus,1996-01-01 00:00:00,3,F,
70,Sade,Jason,1997-01-01 00:00:00,4,M,
71,Yoseph,Burke,1998-01-01 00:00:00,4,M,
72,Isaiah,Yetta,1999-01-01 00:00:00,4,F,
73,Darryl,Tiger,2000-01-01 00:00:00,5,M,
74,Astra,Grant,2001-01-01 00:00:00,5,F,
75,Quin,Aaron,2002-01-01 00:00:00,6,M,
76,Taylor,Zeus,2003-01-01 00:00:00,7,F,
77,Merritt,Aiko,2004-01-01 00:00:00,8,M,
78,Denise,Kirk,2005-01-01 00:00:00,9,M,
79,Eden,Amal,2006-01-01 00:00:00,10,F,
80,Grant,Graiden,2007-01-01 00:00:00,11,M,
81,Stephanie,Gloria,2008-01-01 00:00:00,12,F,
82,Nell,Kimberly,2009-01-01 00:00:00,13,M,
83,Colby,Norman,2010-01-01 00:00:00,3,F,
84,Ivor,Iliana,2011-01-01 00:00:00,4,M,
85,Evan,Stewart,1970-01-01 00:00:00,5,M,
86,Lewis,Daphne,1971-01-01 00:00:00,6,F,
87,Rooney,Conan,1972-01-01 00:00:00,35,M,
88,Martena,Aristotle,1973-01-01 00:00:00,35,F,
89,Xena,Alvin,1974-01-01 00:00:00,12,M,
90,Melodie,Scarlett,1975-01-01 00:00:00,12,F,
91,Ginger,Shaine,1976-01-01 00:00:00,17,M,
92,Stacey,Chaney,1977-01-01 00:00:00,18,M,
93,Dante,Phoebe,1978-01-01 00:00:00,18,F,
94,Lamar,Chastity,1979-01-01 00:00:00,19,M,
95,Alexis,Michael,1980-01-01 00:00:00,19,F,
96,Ivana,Damon,1981-01-01 00:00:00,20,M,
