StudentId,FName,LName,DOB,DepartmentId,Gender
31,Solomon,Athena,2000-01-01 00:00:00,1,M
32,Clark,Kennan,2001-01-01 00:00:00,1,F
33,Abebech,Josephine,2002-01-01 00:00:00,1,F
61,Velma,Otto,1988-01-01 00:00:00,1,M
62,Deacon,Buckminster,1989-01-01 00:00:00,1,F
63,Jacqueline,Myles,1990-01-01 00:00:00,1,M
101,Yoseph,Adugna,1978-02-02 00:00:00,1,M
102,Yoseph,Adugna,1978-02-02 00:00:00,1,M
103,Abebe,Cherinet,2020-09-01 17:57:38.017000000,1,M
104,Aster,Abebe,2020-09-01 17:57:38.017000000,1,M
105,Aster,Abebe,2020-09-01 17:57:38.017000000,1,M
106,Abebe,Desta,2020-09-01 17:57:38.017000000,1,F
107,Abebe,Ayele,2020-09-01 17:57:38.017000000,1,F
108,Test1,Test2,2020-09-01 17:57:38.017000000,1,F
109,Test3,TestLName,2020-09-09 17:35:30.327000000,1,M
110,Test3,TestLName,2020-09-09 17:36:37.180000000,1,M
111,Test4,TestLName,2020-09-09 17:38:07.380000000,1,M
112,Test5,TestLName,2020-09-09 17:38:07.380000000,1,M
113,Test6,TestLName,2020-09-09 17:38:07.380000000,1,M
114,Test7,TestLName,2020-09-09 17:38:07.380000000,1,M
115,Test8,TestLName,2020-09-09 17:41:13.573000000,1,M
116,Yoseph,Kassaye,1970-01-01 00:00:00,1,M
117,Hadas,Kassaye,1970-01-01 00:00:00,1,M
300,Abenet,Bekele,,1,M
